Treatment,treat,Group,Aperture
"Red light, PH=6.5",0mM,C,7.092
"Red light, PH=6.5",0mM,C,4.23
"Red light, PH=6.5",0mM,C,3.74
"Red light, PH=6.5",0mM,C,3.457
"Red light, PH=6.5",0mM,C,3.202
"Red light, PH=6.5",0mM,C,2.303
"Red light, PH=6.5",0mM,C,2.944
"Red light, PH=6.5",0mM,C,0.804
"Red light, PH=6.5",0mM,C,1.293
"Red light, PH=6.5",0mM,C,2.892
"Red light, PH=6.5",0mM,C,0.799
"Red light, PH=6.5",0mM,C,1.601
"Red light, PH=6.5",0mM,C,4.124
"Red light, PH=6.5",0mM,C,2.718
"Red light, PH=6.5",0mM,C,4.159
"Red light, PH=6.5",0mM,C,1.519
"Red light, PH=6.5",0mM,C,2.472
"Red light, PH=6.5",0mM,C,2.77
"Red light, PH=6.5",0mM,C,2.36
"Red light, PH=6.5",0mM,C,2.503
"Red light, PH=6.5",0mM,C,2.085
"Red light, PH=6.5",0mM,C,1.231
"Red light, PH=6.5",0mM,C,2.942
"Red light, PH=6.5",0mM,C,5.255
"Red light, PH=6.5",0mM,C,0.562
"Red light, PH=6.5",0mM,C,3.731
"Red light, PH=6.5",0mM,C,1.237
"Red light, PH=6.5",0mM,C,1.17
"Red light, PH=6.5",0mM,C,1.155
"Red light, PH=6.5",0mM,C,1.601
"Red light, PH=6.5",0mM,C,3.267
"Red light, PH=6.5",0mM,C,0.893
"Red light, PH=6.5",0mM,C,0.716
"Red light, PH=6.5",0mM,C,0.843
"Red light, PH=6.5",0mM,C,1.955
"Red light, PH=6.5",0mM,C,1.066
"Red light, PH=6.5",0mM,C,3.071
"Red light, PH=6.5",0mM,C,1.199
"Red light, PH=6.5",0mM,C,3.167
"Red light, PH=6.5",0mM,C,0.686
"Red light, PH=6.5",0mM,C,1.759
"Red light, PH=6.5",0mM,C,2.133
"Red light, PH=6.5",0mM,C,3.794
"Red light, PH=6.5",0mM,C,1.659
"Red light, PH=6.5",0mM,C,1.208
"Red light, PH=6.5",0mM,C,1.4
"Red light, PH=6.5",0.4mM,D,3.343
"Red light, PH=6.5",0.4mM,D,1.335
"Red light, PH=6.5",0.4mM,D,4.658
"Red light, PH=6.5",0.4mM,D,4.561
"Red light, PH=6.5",0.4mM,D,2.119
"Red light, PH=6.5",0.4mM,D,1.293
"Red light, PH=6.5",0.4mM,D,1.595
"Red light, PH=6.5",0.4mM,D,2.522
"Red light, PH=6.5",0.4mM,D,1.763
"Red light, PH=6.5",0.4mM,D,1.336
"Red light, PH=6.5",0.4mM,D,0.894
"Red light, PH=6.5",0.4mM,D,4.394
"Red light, PH=6.5",0.4mM,D,1.888
"Red light, PH=6.5",0.4mM,D,4.33
"Red light, PH=6.5",0.4mM,D,4.141
"Red light, PH=6.5",0.4mM,D,1.996
"Red light, PH=6.5",0.4mM,D,4.009
"Red light, PH=6.5",0.4mM,D,1.192
"Red light, PH=6.5",0.4mM,D,3.639
"Red light, PH=6.5",0.4mM,D,0.569
"Red light, PH=6.5",0.4mM,D,1.55
"Red light, PH=6.5",0.4mM,D,4.105
"Red light, PH=6.5",0.4mM,D,1.884
"Red light, PH=6.5",0.4mM,D,5.564
"Red light, PH=6.5",0.4mM,D,0.819
"Red light, PH=6.5",0.4mM,D,5.585
"Red light, PH=6.5",0.4mM,D,2.194
"Red light, PH=6.5",0.4mM,D,4.612
"Red light, PH=6.5",0.4mM,D,4.381
"Red light, PH=6.5",0.4mM,D,3.587
"Red light, PH=6.5",0.4mM,D,1.555
"Red light, PH=6.5",0.4mM,D,1.522
"Red light, PH=6.5",0.4mM,D,3.694
"Red light, PH=6.5",0.4mM,D,2.658
"Red light, PH=6.5",0.4mM,D,4.578
"Red light, PH=6.5",0.4mM,D,0.869
"Red light, PH=6.5",0.4mM,D,4.561
"Red light, PH=6.5",0.4mM,D,3.075
"Red light, PH=6.5",0.4mM,D,1.247
"Red light, PH=6.5",0.4mM,D,2.857
"Red light, PH=6.5",0.4mM,D,4.946
"Red light, PH=6.5",0.4mM,D,4.326
"Red light, PH=6.5",0.4mM,D,4.367
"Red light, PH=6.5",0.4mM,D,1.155
"Red light, PH=6.5",0.4mM,D,3.961
"Red light, PH=6.5",0.4mM,D,2.039
"Red light, PH=6.5",0.4mM,D,3.779
"Red light, PH=6.5",0.4mM,D,4.862
"Red light, PH=6.5",0.4mM,D,1.155
"Red light, PH=6.5",0.4mM,D,4.234
"Red light, PH=6.5",0.4mM,D,2.082
"Red light, PH=6.5",0.4mM,D,2.871
"Red light, PH=6.5",0.4mM,D,4.197
"Red light, PH=6.5",0.4mM,D,1.727
"Red light, PH=6.5",0.4mM,D,4.13
"Red light, PH=6.5",0.4mM,D,2.601
"Red light, PH=6.5",0.4mM,D,1.367
"Red light, PH=6.5",0.4mM,D,2.882
"Red light, PH=6.5",0.4mM,D,2.662
"Red light, PH=6.5",0.4mM,D,3.754
"Red light, PH=6.5",0.4mM,D,3.644
"Red light, PH=6.5",0.4mM,D,3.748
"Red light, PH=6.5",0.4mM,D,2.297
"Red light, PH=6.5",0.4mM,D,2.449
"Red light, PH=6.5",0.4mM,D,3.085
"Red light, PH=6.5",0.4mM,D,1.503
"Red light, PH=6.5",0.4mM,D,2.222
"Red light, PH=6.5",0.4mM,D,3.222
"Red light, PH=6.5",0.4mM,D,1.423
"Red light, PH=6.5",0.4mM,D,2.004
"Red light, PH=6.5",0.4mM,D,1.538
"Red light, PH=6.5",0.4mM,D,2.067
"Red light, PH=6.5",0.4mM,D,1.505
"Red light, PH=6.5",0.4mM,D,1.669
"Red light, PH=6.5",0.4mM,D,1.913
"Red light, PH=6.5",0.4mM,D,1.901
"Red light, PH=6.5",0.4mM,D,1.821
"Red light, PH=6.5",0.4mM,D,2.808
"Red light, PH=6.5",0.4mM,D,4.251
"Red light, PH=6.5",0.4mM,D,3.855
"Red light, PH=6.5",0.4mM,D,3.343
"Red light, PH=6.5",0.4mM,D,4.271
"Red light, PH=6.5",0.4mM,D,5.729
"Red light, PH=6.5",0.4mM,D,2.738
"Red light, PH=6.5",0.4mM,D,2.543
"Red light, PH=6.5",0.4mM,D,5.125
"Red light, PH=6.5",0.4mM,D,4.312
"Red light, PH=6.5",0.4mM,D,3.16
"Red light, PH=6.5",0.4mM,D,3.482
"Red light, PH=6.5",1mM,E,2.938
"Red light, PH=6.5",1mM,E,4.467
"Red light, PH=6.5",1mM,E,3.181
"Red light, PH=6.5",1mM,E,3.497
"Red light, PH=6.5",1mM,E,2.848
"Red light, PH=6.5",1mM,E,1.829
"Red light, PH=6.5",1mM,E,2.823
"Red light, PH=6.5",1mM,E,2.698
"Red light, PH=6.5",1mM,E,3.287
"Red light, PH=6.5",1mM,E,2.956
"Red light, PH=6.5",1mM,E,2.807
"Red light, PH=6.5",1mM,E,3.7
"Red light, PH=6.5",1mM,E,6.651
"Red light, PH=6.5",1mM,E,4.592
"Red light, PH=6.5",1mM,E,3.802
"Red light, PH=6.5",1mM,E,3.382
"Red light, PH=6.5",1mM,E,3.772
"Red light, PH=6.5",1mM,E,2.239
"Red light, PH=6.5",1mM,E,3.264
"Red light, PH=6.5",1mM,E,7.633
"Red light, PH=6.5",1mM,E,1.228
"Red light, PH=6.5",1mM,E,3.393
"Red light, PH=6.5",1mM,E,3.384
"Red light, PH=6.5",1mM,E,4.11
"Red light, PH=6.5",1mM,E,1.426
"Red light, PH=6.5",1mM,E,5.542
"Red light, PH=6.5",1mM,E,3.09
"Red light, PH=6.5",1mM,E,1.79
"Red light, PH=6.5",1mM,E,4.364
"Red light, PH=6.5",1mM,E,2.119
"Red light, PH=6.5",1mM,E,5.602
"Red light, PH=6.5",1mM,E,2.788
"Red light, PH=6.5",1mM,E,1.196
"Red light, PH=6.5",1mM,E,3.997
"Red light, PH=6.5",1mM,E,6.23
"Red light, PH=6.5",1mM,E,2.392
"Red light, PH=6.5",1mM,E,3.945
"Red light, PH=6.5",1mM,E,3.517
"Red light, PH=6.5",1mM,E,1.626
"Red light, PH=6.5",1mM,E,5.077
"Red light, PH=6.5",1mM,E,1.895
"Red light, PH=6.5",1mM,E,6.132
"Red light, PH=6.5",1mM,E,5.336
"Red light, PH=6.5",1mM,E,1.247
"Red light, PH=6.5",1mM,E,5.596
"Red light, PH=6.5",1mM,E,4.682
"Red light, PH=6.5",1mM,E,2.004
"Red light, PH=6.5",1mM,E,2.747
"Red light, PH=6.5",1mM,E,3.541
"Red light, PH=6.5",1mM,E,1.972
"Red light, PH=6.5",1mM,E,2.443
"Red light, PH=6.5",1mM,E,3.65
"Red light, PH=6.5",1mM,E,3.136
"Red light, PH=6.5",1mM,E,0.81
"Red light, PH=6.5",1mM,E,2.612
"Red light, PH=6.5",1mM,E,1.295
"Red light, PH=6.5",1mM,E,1.457
"Red light, PH=6.5",1mM,E,2.236
"Red light, PH=6.5",1mM,E,2.228
"Red light, PH=6.5",1mM,E,2.9
"Red light, PH=6.5",1mM,E,3.832
"Red light, PH=6.5",1mM,E,0.333
"Red light, PH=6.5",1mM,E,1.914
"Red light, PH=6.5",1mM,E,3.046
"Red light, PH=6.5",1mM,E,1.737
"Red light, PH=6.5",1mM,E,1.092
"Red light, PH=6.5",1mM,E,4.234
"Red light, PH=6.5",1mM,E,4.826
"Red light, PH=6.5",1mM,E,3.496
"Red light, PH=6.5",1mM,E,5.697
"Red light, PH=6.5",1mM,E,5.4
"Red light, PH=6.5",1mM,E,3.483
"Red light, PH=6.5",1mM,E,5.857
"Red light, PH=6.5",1mM,E,4.728
"Red light, PH=6.5",1mM,E,6.532
"Red light, PH=6.5",1mM,E,3.291
"Red light, PH=6.5",1mM,E,2.331
"Red light, PH=6.5",1mM,E,4.72
"Red light, PH=6.5",1mM,E,3.005
"Red light, PH=6.5",1mM,E,4.497
"Red light, PH=6.5",1mM,E,3.86
"Red light, PH=6.5",1mM,E,7.613
"Red light, PH=6.5",1mM,E,2.553
"Red light, PH=6.5",1mM,E,3.581
"Red light, PH=6.5",1mM,E,2.011
"Red light, PH=6.5",1mM,E,3.73
"Red light, PH=6.5",1mM,E,3.217
"Red light, PH=6.5",1mM,E,6.376
"Red light, PH=6.5",1mM,E,2.391
"Red light, PH=6.5",1mM,E,3.908
"Red light, PH=6.5",1mM,E,4.089
"Red light, PH=6.5",1mM,E,2.788
"Red light, PH=6.5",1mM,E,2.929
"Red light, PH=6.5",1mM,E,1.948
"Red light, PH=6.5",1mM,E,3.754
"Red light, PH=6.5",1mM,E,3.823
"Red light, PH=6.5",30mM,F,0.444
"Red light, PH=6.5",30mM,F,4.913
"Red light, PH=6.5",30mM,F,1.551
"Red light, PH=6.5",30mM,F,3.74
"Red light, PH=6.5",30mM,F,2.141
"Red light, PH=6.5",30mM,F,2.743
"Red light, PH=6.5",30mM,F,0.647
"Red light, PH=6.5",30mM,F,2.503
"Red light, PH=6.5",30mM,F,1.068
"Red light, PH=6.5",30mM,F,2.073
"Red light, PH=6.5",30mM,F,3.197
"Red light, PH=6.5",30mM,F,3.339
"Red light, PH=6.5",30mM,F,0.359
"Red light, PH=6.5",30mM,F,0.666
"Red light, PH=6.5",30mM,F,3.418
"Red light, PH=6.5",30mM,F,3.585
"Red light, PH=6.5",30mM,F,1.732
"Red light, PH=6.5",30mM,F,3.252
"Red light, PH=6.5",30mM,F,2.107
"Red light, PH=6.5",30mM,F,0.961
"Red light, PH=6.5",30mM,F,1.103
"Red light, PH=6.5",30mM,F,3.465
"Red light, PH=6.5",30mM,F,1.066
"Red light, PH=6.5",30mM,F,2.586
"Red light, PH=6.5",30mM,F,2.771
"Red light, PH=6.5",30mM,F,0.986
"Red light, PH=6.5",30mM,F,1.946
"Red light, PH=6.5",30mM,F,7.034
"Red light, PH=6.5",30mM,F,5.411
"Red light, PH=6.5",30mM,F,3.523
"Red light, PH=6.5",30mM,F,4.158
"Red light, PH=6.5",30mM,F,2.882
"Red light, PH=6.5",30mM,F,1.282
"Red light, PH=6.5",30mM,F,3.679
"Red light, PH=6.5",30mM,F,2.665
"Red light, PH=6.5",30mM,F,4.441
"Red light, PH=6.5",30mM,F,2.665
"Red light, PH=6.5",30mM,F,2.934
"Red light, PH=6.5",30mM,F,4.205
"Red light, PH=6.5",30mM,F,5.024
"Red light, PH=6.5",30mM,F,5.542
"Red light, PH=6.5",30mM,F,4.3
"Red light, PH=6.5",30mM,F,4.828
"Red light, PH=6.5",30mM,F,7.513
"Red light, PH=6.5",30mM,F,4.181
"Red light, PH=6.5",30mM,F,6.056
"Red light, PH=6.5",30mM,F,4.737
"Red light, PH=6.5",30mM,F,3.358
"Red light, PH=6.5",30mM,F,3.924
"Red light, PH=6.5",30mM,F,2.598
"Red light, PH=6.5",30mM,F,3.319
"Red light, PH=6.5",30mM,F,3.239
"Red light, PH=6.5",30mM,F,4.898
"Red light, PH=6.5",30mM,F,2.683
"Red light, PH=6.5",30mM,F,2.736
"Red light, PH=6.5",30mM,F,4.35
"Red light, PH=6.5",30mM,F,1.75
"Red light, PH=6.5",30mM,F,0.879
"Red light, PH=6.5",30mM,F,1.053
"Red light, PH=6.5",30mM,F,1.966
"Red light, PH=6.5",30mM,F,0.843
"Red light, PH=6.5",30mM,F,0.52
"Red light, PH=6.5",30mM,F,0.54
"Red light, PH=6.5",30mM,F,0.777
"Red light, PH=6.5",30mM,F,0.4
"Red light, PH=6.5",30mM,F,0.819
"Red light, PH=6.5",30mM,F,0.466
"Red light, PH=6.5",30mM,F,0.603
"Red light, PH=6.5",30mM,F,0.533
"Red light, PH=6.5",30mM,F,0.4
"Red light, PH=6.5",30mM,F,2.081
"Red light, PH=6.5",30mM,F,0.802
"Red light, PH=6.5",30mM,F,0.266
"Red light, PH=6.5",30mM,F,0.266
"Red light, PH=6.5",30mM,F,1.354
"Red light, PH=6.5",30mM,F,0.383
"Red light, PH=6.5",30mM,F,3.997
"Red light, PH=6.5",30mM,F,2.073
"Red light, PH=6.5",30mM,F,1.411
"Red light, PH=6.5",30mM,F,1.746
"Red light, PH=6.5",30mM,F,5.295
"Red light, PH=6.5",30mM,F,5.723
"Red light, PH=6.5",30mM,F,2.807
"Red light, PH=6.5",30mM,F,2.52
"Red light, PH=6.5",30mM,F,3.872
"Red light, PH=6.5",30mM,F,1.07
"Red light, PH=6.5",30mM,F,3.244
"Red light, PH=6.5",30mM,F,4.529
"Red light, PH=6.5",30mM,F,5.898
"Red light, PH=6.5",30mM,F,3.527
"Red light, PH=6.5",30mM,F,4.14
"Red light, PH=6.5",50mM,G,5.309
"Red light, PH=6.5",50mM,G,4.693
"Red light, PH=6.5",50mM,G,3.468
"Red light, PH=6.5",50mM,G,3.464
"Red light, PH=6.5",50mM,G,5.579
"Red light, PH=6.5",50mM,G,2.004
"Red light, PH=6.5",50mM,G,0.347
"Red light, PH=6.5",50mM,G,5.564
"Red light, PH=6.5",50mM,G,2.025
"Red light, PH=6.5",50mM,G,0.694
"Red light, PH=6.5",50mM,G,0.666
"Red light, PH=6.5",50mM,G,4.265
"Red light, PH=6.5",50mM,G,1.195
"Red light, PH=6.5",50mM,G,1.574
"Red light, PH=6.5",50mM,G,2.01
"Red light, PH=6.5",50mM,G,1.962
"Red light, PH=6.5",50mM,G,3.326
"Red light, PH=6.5",50mM,G,3.017
"Red light, PH=6.5",50mM,G,1.446
"Red light, PH=6.5",50mM,G,3.794
"Red light, PH=6.5",50mM,G,1.779
"Red light, PH=6.5",50mM,G,2.234
"Red light, PH=6.5",50mM,G,2.998
"Red light, PH=6.5",50mM,G,1.936
"Red light, PH=6.5",50mM,G,2.487
"Red light, PH=6.5",50mM,G,3.397
"Red light, PH=6.5",50mM,G,2.802
"Red light, PH=6.5",50mM,G,3.944
"Red light, PH=6.5",50mM,G,2.807
"Red light, PH=6.5",50mM,G,1.322
"Red light, PH=6.5",50mM,G,1.962
"Red light, PH=6.5",50mM,G,3.731
"Red light, PH=6.5",50mM,G,1
"Red light, PH=6.5",50mM,G,3.401
"Red light, PH=6.5",50mM,G,4.515
"Red light, PH=6.5",50mM,G,5.484
"Red light, PH=6.5",50mM,G,3.114
"Red light, PH=6.5",50mM,G,1.826
"Red light, PH=6.5",50mM,G,2.741
"Red light, PH=6.5",50mM,G,2.959
"Red light, PH=6.5",50mM,G,1.059
"Red light, PH=6.5",50mM,G,5.091
"Red light, PH=6.5",50mM,G,3.143
"Red light, PH=6.5",50mM,G,0.089
"Red light, PH=6.5",50mM,G,2.468
"Red light, PH=6.5",50mM,G,1.424
"Red light, PH=6.5",50mM,G,1.907
"Red light, PH=6.5",50mM,G,2.582
"Red light, PH=6.5",50mM,G,1.698
"Red light, PH=6.5",50mM,G,2.49
"Red light, PH=6.5",50mM,G,1.842
"Red light, PH=6.5",50mM,G,1.356
"Red light, PH=6.5",50mM,G,1.605
"Red light, PH=6.5",50mM,G,1.609
"Red light, PH=6.5",50mM,G,0.79
"Red light, PH=6.5",50mM,G,1.785
"Red light, PH=6.5",50mM,G,2.128
"Red light, PH=6.5",50mM,G,3.757
"Red light, PH=6.5",50mM,G,0.858
"Red light, PH=6.5",50mM,G,1.842
"Red light, PH=6.5",50mM,G,2.073
"Red light, PH=6.5",50mM,G,0.535
"Red light, PH=6.5",50mM,G,1.507
"Red light, PH=6.5",50mM,G,4.199
"Red light, PH=6.5",50mM,G,0.562
"Red light, PH=6.5",50mM,G,0.52
"Red light, PH=6.5",50mM,G,1.137
"Red light, PH=6.5",50mM,G,0.427
"Red light, PH=6.5",50mM,G,1.199
"Red light, PH=6.5",50mM,G,2.177
"Red light, PH=6.5",50mM,G,2.465
"Red light, PH=6.5",50mM,G,0.679
"Red light, PH=6.5",50mM,G,1.373
"Red light, PH=6.5",50mM,G,0.824
"Red light, PH=6.5",50mM,G,1.746
"Red light, PH=6.5",50mM,G,2.106
"Red light, PH=6.5",50mM,G,2.858
"Red light, PH=6.5",50mM,G,0.083
"Red light, PH=6.5",50mM,G,1.45
"Red light, PH=6.5",50mM,G,1.594
"Red light, PH=6.5",50mM,G,1.534
"Red light, PH=6.5",50mM,G,1.872
"Red light, PH=6.5",50mM,G,2.292
"Red light, PH=6.5",50mM,G,1.635
"Red light, PH=6.5",50mM,G,1.831
"Red light, PH=6.5",50mM,G,1.931
"Red light, PH=6.5",50mM,G,2.252
"Red light, PH=6.5",50mM,G,3.35
"Red light, PH=6.5",50mM,G,3.831
"Red light, PH=6.5",50mM,G,2.354
"Red light, PH=6.5",50mM,G,1.821
"Red light, PH=6.5",50mM,G,2.143
"Red light, PH=6.5",50mM,G,3.071
"Red light, PH=6.5",50mM,G,1.293
"Red light, PH=6.5",50mM,G,3.496
"Red light, PH=6.5",50mM,G,1.037
"Red light, PH=6.5",50mM,G,2.591
"Red light, PH=6.5",50mM,G,1.962
"Red light, PH=6.5",50mM,G,2.598
"Red light, PH=6.5",50mM,G,2.545
"Red light, PH=6.5",50mM,G,1.987
"Red light, PH=6.5",50mM,G,3.955
"Red light, PH=6.5",50mM,G,1.554
"Red light, PH=6.5",50mM,G,1.554
"Red light, PH=6.5",50mM,G,4.809
"Red light, PH=6.5",50mM,G,2.439
"Red light, PH=6.5",50mM,G,3.131
"Red light, PH=6.5",50mM,G,2.254
"Red light, PH=6.5",50mM,G,1.158
"Red light, PH=6.5",50mM,G,2.39
"Red light, PH=6.5",50mM,G,2.755
"Red light, PH=6.5",50mM,G,1.163
"Red light, PH=6.5",50mM,G,1.201
"Red light, PH=6.5",50mM,G,3.4
"Red light, PH=6.5",100mM,H,2.553
"Red light, PH=6.5",100mM,H,1.373
"Red light, PH=6.5",100mM,H,0.754
"Red light, PH=6.5",100mM,H,1.507
"Red light, PH=6.5",100mM,H,0.926
"Red light, PH=6.5",100mM,H,0.777
"Red light, PH=6.5",100mM,H,0.666
"Red light, PH=6.5",100mM,H,1.293
"Red light, PH=6.5",100mM,H,0.495
"Red light, PH=6.5",100mM,H,0.333
"Red light, PH=6.5",100mM,H,0.716
"Red light, PH=6.5",100mM,H,0.716
"Red light, PH=6.5",100mM,H,2.551
"Red light, PH=6.5",100mM,H,1.907
"Red light, PH=6.5",100mM,H,0.99
"Red light, PH=6.5",100mM,H,1.621
"Red light, PH=6.5",100mM,H,0.999
"Red light, PH=6.5",100mM,H,0.78
"Red light, PH=6.5",100mM,H,0.866
"Red light, PH=6.5",100mM,H,0.927
"Red light, PH=6.5",100mM,H,0.802
"Red light, PH=6.5",100mM,H,0.786
"Red light, PH=6.5",100mM,H,0.408
"Red light, PH=6.5",100mM,H,0.854
"Red light, PH=6.5",100mM,H,0.314
"Red light, PH=6.5",100mM,H,0.366
"Red light, PH=6.5",100mM,H,0.614
"Red light, PH=6.5",100mM,H,0.731
"Red light, PH=6.5",100mM,H,0.62
"Red light, PH=6.5",100mM,H,1.615
"Red light, PH=6.5",100mM,H,0.427
"Red light, PH=6.5",100mM,H,1.084
"Red light, PH=6.5",100mM,H,0.721
"Red light, PH=6.5",100mM,H,0.899
"Red light, PH=6.5",100mM,H,0.453
"Red light, PH=6.5",100mM,H,1.405
"Red light, PH=6.5",100mM,H,0.259
"Red light, PH=6.5",100mM,H,0.379
"Red light, PH=6.5",100mM,H,0.716
"Red light, PH=6.5",100mM,H,0.728
"Red light, PH=6.5",100mM,H,0.62
"Red light, PH=6.5",100mM,H,0.284
"Red light, PH=6.5",100mM,H,0.643
"Red light, PH=6.5",100mM,H,0.824
"Red light, PH=6.5",100mM,H,1.297
"Red light, PH=6.5",100mM,H,0.38
"Red light, PH=6.5",100mM,H,1.577
"Red light, PH=6.5",100mM,H,0.126
"Red light, PH=6.5",100mM,H,0.533
"Red light, PH=6.5",100mM,H,0.485
"Red light, PH=6.5",100mM,H,1.158
"Red light, PH=6.5",100mM,H,0.537
"Red light, PH=6.5",100mM,H,0.759
"Red light, PH=6.5",100mM,H,3.2
"Red light, PH=6.5",100mM,H,2.398
"Red light, PH=6.5",100mM,H,2.211
"Red light, PH=6.5",100mM,H,2.614
"Red light, PH=6.5",100mM,H,2.15
"Red light, PH=6.5",100mM,H,1.671
"Red light, PH=6.5",100mM,H,2.641
"Red light, PH=6.5",100mM,H,2.249
"Red light, PH=6.5",100mM,H,0.133
"Red light, PH=6.5",100mM,H,0.99
"Red light, PH=6.5",100mM,H,2.205
"Red light, PH=6.5",100mM,H,1.146
"Red light, PH=6.5",100mM,H,0.978
