Genotype ,Treatment,Letter,Aperture
Col-0,Dark,B,0.32
Col-0,Dark,B,0.656
Col-0,Dark,B,0.16
Col-0,Dark,B,0.089
Col-0,Dark,B,0.149
Col-0,Dark,B,0.64
Col-0,Dark,B,0.266
Col-0,Dark,B,0.4
Col-0,Dark,B,0.133
Col-0,Dark,B,0.133
Col-0,Dark,B,0.754
Col-0,Dark,B,0.628
Col-0,Dark,B,0.444
Col-0,Dark,B,0.549
Col-0,Dark,B,0.679
Col-0,Dark,B,0.133
Col-0,Dark,B,0.266
Col-0,Dark,B,0.355
Col-0,Dark,B,0.067
Col-0,Dark,B,0.133
Col-0,Dark,B,0.48
Col-0,Dark,B,0.24
Col-0,Dark,B,0.916
Col-0,Dark,B,0.485
Col-0,Dark,B,0.266
Col-0,Dark,B,0.32
Col-0,Dark,B,0.32
Col-0,Dark,B,0.266
Col-0,Dark,B,0.133
aha1-6,Dark,B,0.067
aha1-6,Dark,B,0.355
aha1-6,Dark,B,0.333
aha1-6,Dark,B,0.24
aha1-6,Dark,B,0.377
aha1-6,Dark,B,0.48
aha1-6,Dark,B,0.628
aha1-6,Dark,B,0.089
aha1-6,Dark,B,0.266
aha1-6,Dark,B,0.178
aha1-6,Dark,B,0.178
aha1-6,Dark,B,0.502
aha1-6,Dark,B,0.355
aha1-6,Dark,B,0.4
aha1-6,Dark,B,0.355
aha1-6,Dark,B,0.266
aha1-6,Dark,B,0.565
aha1-6,Dark,B,0.266
aha1-6,Dark,B,0.067
aha1-6,Dark,B,0.298
aha1-6,Dark,B,0.421
aha1-6,Dark,B,0.266
aha1-6,Dark,B,0.126
aha1-6,Dark,B,0.596
aha1-6,Dark,B,0.518
aha1-6,Dark,B,0.199
aha1-6,Dark,B,0.089
aha1-6,Dark,B,0.754
aha1-6,Dark,B,0.266
aha1-6,Dark,B,0.266
aha1-6,Dark,B,0.199
aha1-6,Dark,B,0.281
aha1-6,Dark,B,0.178
aha1-6,Dark,B,0.211
aha1-6,Dark,B,0.178
aha1-6,Dark,B,0.211
aha1-6,Dark,B,0.298
aha1-6,Dark,B,0.596
aha1-6,Dark,B,0.188
aha1-6,Dark,B,0.133
aha1-6,Dark,B,0.533
aha1-6,Dark,B,0.355
aha1-6,Dark,B,0.397
aha1-6,Dark,B,0.377
Col-0,Mock,C,0.843
Col-0,Mock,C,0.266
Col-0,Mock,C,0.799
Col-0,Mock,C,0.533
Col-0,Mock,C,0.596
Col-0,Mock,C,0.799
Col-0,Mock,C,0.377
Col-0,Mock,C,0.089
Col-0,Mock,C,0.711
Col-0,Mock,C,0.298
Col-0,Mock,C,0.133
Col-0,Mock,C,0.4
Col-0,Mock,C,0.266
Col-0,Mock,C,0.281
Col-0,Mock,C,0.533
Col-0,Mock,C,0.266
Col-0,Mock,C,0.549
Col-0,Mock,C,0.298
Col-0,Mock,C,0.298
Col-0,Mock,C,0.281
Col-0,Mock,C,0.421
Col-0,Mock,C,0.266
Col-0,Mock,C,0.178
Col-0,Mock,C,0.711
Col-0,Mock,C,1.074
Col-0,Mock,C,0.178
Col-0,Mock,C,0.089
Col-0,Mock,C,0.266
Col-0,Mock,C,0.596
Col-0,Mock,C,0.799
Col-0,Mock,C,0.533
Col-0,Mock,C,0.421
Col-0,Mock,C,0.732
Col-0,Mock,C,0.799
Col-0,Mock,C,0.126
Col-0,Mock,C,0.266
Col-0,Mock,C,0.298
Col-0,Mock,C,0.533
Col-0,Mock,C,0.266
Col-0,Mock,C,0.32
Col-0,Mock,C,0.355
Col-0,Mock,C,0.178
Col-0,Mock,C,0.388
Col-0,Mock,C,0.24
Col-0,Mock,C,0.562
Col-0,Mock,C,0.266
Col-0,Mock,C,0.669
Col-0,Mock,C,0.437
Col-0,Mock,C,0.427
Col-0,Mock,C,0.178
Col-0,Mock,C,0.2
Col-0,Mock,C,0.4
Col-0,Mock,C,0.044
Col-0,Mock,C,0.178
Col-0,Mock,C,0.298
Col-0,Mock,C,0.355
Col-0,Mock,C,0.178
Col-0,Mock,C,0.502
Col-0,Mock,C,0.178
Col-0,Mock,C,0.397
Col-0,Mock,C,0.711
Col-0,Mock,C,0.397
Col-0,Mock,C,0.355
Col-0,Mock,C,1.913
Col-0,Mock,C,0.178
Col-0,Mock,C,0.126
Col-0,Mock,C,0.126
Col-0,Mock,C,0.444
Col-0,Mock,C,0.717
Col-0,Mock,C,0.565
Col-0,Mock,C,0.259
Col-0,Mock,C,0.126
Col-0,Mock,C,0.266
Col-0,Mock,C,0.089
Col-0,Mock,C,0.266
Col-0,Mock,C,0.266
Col-0,Mock,C,0.695
Col-0,Mock,C,0.283
Col-0,Mock,C,0.477
Col-0,Mock,C,0.307
Col-0,Mock,C,0.333
Col-0,Mock,C,0.32
Col-0,Mock,C,0.355
Col-0,Mock,C,0.48
Col-0,Mock,C,0.843
aha1-6,Mock,C,0.133
aha1-6,Mock,C,0.266
aha1-6,Mock,C,0.533
aha1-6,Mock,C,0.266
aha1-6,Mock,C,0.266
aha1-6,Mock,C,0.533
aha1-6,Mock,C,0.266
aha1-6,Mock,C,0.266
aha1-6,Mock,C,0.799
aha1-6,Mock,C,0.961
aha1-6,Mock,C,0.799
aha1-6,Mock,C,0.266
aha1-6,Mock,C,0.799
aha1-6,Mock,C,0.266
aha1-6,Mock,C,1.192
aha1-6,Mock,C,0.266
aha1-6,Mock,C,0.533
aha1-6,Mock,C,0.799
aha1-6,Mock,C,0.533
aha1-6,Mock,C,0.178
aha1-6,Mock,C,0.178
aha1-6,Mock,C,0.421
aha1-6,Mock,C,0.133
aha1-6,Mock,C,0.453
aha1-6,Mock,C,0.453
aha1-6,Mock,C,0.067
aha1-6,Mock,C,0.133
aha1-6,Mock,C,0.067
aha1-6,Mock,C,0.133
aha1-6,Mock,C,0.666
aha1-6,Mock,C,0.794
aha1-6,Mock,C,0.397
aha1-6,Mock,C,0.4
aha1-6,Mock,C,0.4
aha1-6,Mock,C,0.266
aha1-6,Mock,C,0.266
aha1-6,Mock,C,0.178
aha1-6,Mock,C,0.199
aha1-6,Mock,C,0.188
aha1-6,Mock,C,0.4
aha1-6,Mock,C,0.355
aha1-6,Mock,C,0.199
aha1-6,Mock,C,0.199
aha1-6,Mock,C,0.759
aha1-6,Mock,C,0.366
aha1-6,Mock,C,0.894
aha1-6,Mock,C,1.138
aha1-6,Mock,C,0.533
Col-0,0mM,D,0.666
Col-0,0mM,D,1.022
Col-0,0mM,D,0.281
Col-0,0mM,D,0.569
Col-0,0mM,D,1.759
Col-0,0mM,D,0.64
Col-0,0mM,D,0.76
Col-0,0mM,D,0.133
Col-0,0mM,D,0.444
Col-0,0mM,D,0.4
Col-0,0mM,D,0.898
Col-0,0mM,D,1.185
Col-0,0mM,D,0.686
Col-0,0mM,D,0.562
Col-0,0mM,D,0.506
Col-0,0mM,D,1.13
Col-0,0mM,D,1.295
Col-0,0mM,D,0.569
Col-0,0mM,D,0.689
Col-0,0mM,D,0.755
Col-0,0mM,D,1.084
Col-0,0mM,D,0.937
Col-0,0mM,D,1.617
Col-0,0mM,D,0.813
Col-0,0mM,D,0.213
Col-0,0mM,D,0.876
Col-0,0mM,D,1.412
Col-0,0mM,D,1.208
Col-0,0mM,D,0.841
Col-0,0mM,D,1.014
Col-0,0mM,D,0.799
Col-0,0mM,D,0.756
Col-0,0mM,D,0.933
Col-0,0mM,D,1.068
Col-0,0mM,D,0.998
Col-0,0mM,D,0.567
Col-0,0mM,D,0.758
Col-0,0mM,D,0.55
Col-0,0mM,D,1.087
Col-0,0mM,D,0.889
Col-0,0mM,D,0.284
Col-0,0mM,D,0.686
Col-0,0mM,D,0.213
Col-0,0mM,D,0.929
Col-0,0mM,D,1.176
Col-0,0mM,D,1.177
Col-0,0mM,D,0.683
Col-0,0mM,D,1.037
Col-0,0mM,D,1.053
Col-0,0mM,D,1.4
Col-0,0mM,D,0.849
Col-0,0mM,D,0.211
Col-0,0mM,D,0.806
aha1-6,0mM,D,0.266
aha1-6,0mM,D,0.533
aha1-6,0mM,D,0.266
aha1-6,0mM,D,0.533
aha1-6,0mM,D,0.48
aha1-6,0mM,D,0.251
aha1-6,0mM,D,0.2
aha1-6,0mM,D,0.466
aha1-6,0mM,D,0.266
aha1-6,0mM,D,0.211
aha1-6,0mM,D,0.366
aha1-6,0mM,D,0.377
aha1-6,0mM,D,0.388
aha1-6,0mM,D,0.226
aha1-6,0mM,D,0.188
aha1-6,0mM,D,0.24
aha1-6,0mM,D,0.551
aha1-6,0mM,D,0.137
aha1-6,0mM,D,0.491
aha1-6,0mM,D,0.16
aha1-6,0mM,D,0.558
aha1-6,0mM,D,0.542
aha1-6,0mM,D,0.756
aha1-6,0mM,D,0
aha1-6,0mM,D,0.632
aha1-6,0mM,D,0.266
aha1-6,0mM,D,0.126
aha1-6,0mM,D,0.533
aha1-6,0mM,D,0.251
aha1-6,0mM,D,0.178
aha1-6,0mM,D,0.397
aha1-6,0mM,D,0.178
aha1-6,0mM,D,0.533
aha1-6,0mM,D,0.355
aha1-6,0mM,D,0.211
aha1-6,0mM,D,0.266
aha1-6,0mM,D,0.16
aha1-6,0mM,D,0.251
aha1-6,0mM,D,0.133
aha1-6,0mM,D,0.4
aha1-6,0mM,D,0.298
aha1-6,0mM,D,0.266
aha1-6,0mM,D,0.355
aha1-6,0mM,D,0.067
aha1-6,0mM,D,0.16
aha1-6,0mM,D,0.089
aha1-6,0mM,D,0.178
aha1-6,0mM,D,0.126
aha1-6,0mM,D,0.359
aha1-6,0mM,D,0.358
aha1-6,0mM,D,0.562
aha1-6,0mM,D,0.358
aha1-6,0mM,D,0.471
aha1-6,0mM,D,0.298
aha1-6,0mM,D,0.199
aha1-6,0mM,D,0.405
aha1-6,0mM,D,0.266
Col-0,0.4mM,E,0.745
Col-0,0.4mM,E,0.478
Col-0,0.4mM,E,0.537
Col-0,0.4mM,E,0.736
Col-0,0.4mM,E,0.687
Col-0,0.4mM,E,0.745
Col-0,0.4mM,E,0.471
Col-0,0.4mM,E,0.421
Col-0,0.4mM,E,0.388
Col-0,0.4mM,E,0.915
Col-0,0.4mM,E,1.196
Col-0,0.4mM,E,0.961
Col-0,0.4mM,E,0.089
Col-0,0.4mM,E,0.266
Col-0,0.4mM,E,0.333
Col-0,0.4mM,E,0.266
Col-0,0.4mM,E,0.2
Col-0,0.4mM,E,0.4
Col-0,0.4mM,E,0.935
Col-0,0.4mM,E,0.34
Col-0,0.4mM,E,0.628
Col-0,0.4mM,E,0.848
Col-0,0.4mM,E,1.232
Col-0,0.4mM,E,5.295
Col-0,0.4mM,E,1.942
Col-0,0.4mM,E,1.487
Col-0,0.4mM,E,1.551
Col-0,0.4mM,E,1.779
Col-0,0.4mM,E,2.855
Col-0,0.4mM,E,0.993
Col-0,0.4mM,E,0.632
Col-0,0.4mM,E,1.424
Col-0,0.4mM,E,1.103
Col-0,0.4mM,E,0.889
Col-0,0.4mM,E,1.281
Col-0,0.4mM,E,1.27
Col-0,0.4mM,E,1.884
Col-0,0.4mM,E,0.736
Col-0,0.4mM,E,3.103
Col-0,0.4mM,E,2.111
Col-0,0.4mM,E,1.332
Col-0,0.4mM,E,1.497
Col-0,0.4mM,E,1.186
Col-0,0.4mM,E,1.424
Col-0,0.4mM,E,0.631
Col-0,0.4mM,E,1.212
Col-0,0.4mM,E,2.556
Col-0,0.4mM,E,0.942
Col-0,0.4mM,E,1.152
Col-0,0.4mM,E,2.075
Col-0,0.4mM,E,1.728
Col-0,0.4mM,E,1.472
Col-0,0.4mM,E,1.479
Col-0,0.4mM,E,1.446
Col-0,0.4mM,E,1.339
Col-0,0.4mM,E,1.332
Col-0,0.4mM,E,1.856
Col-0,0.4mM,E,1.332
Col-0,0.4mM,E,0.986
Col-0,0.4mM,E,1.672
Col-0,0.4mM,E,2.274
Col-0,0.4mM,E,1.554
Col-0,0.4mM,E,1.559
Col-0,0.4mM,E,1.084
Col-0,0.4mM,E,1.019
Col-0,0.4mM,E,1.38
Col-0,0.4mM,E,1.615
Col-0,0.4mM,E,0.735
Col-0,0.4mM,E,1.614
Col-0,0.4mM,E,1.79
Col-0,0.4mM,E,1.737
Col-0,0.4mM,E,1.163
Col-0,0.4mM,E,0.875
Col-0,0.4mM,E,1.475
Col-0,0.4mM,E,1.503
Col-0,0.4mM,E,1.32
Col-0,0.4mM,E,1.314
aha1-6,0.4mM,E,0.754
aha1-6,0.4mM,E,1.2
aha1-6,0.4mM,E,0.941
aha1-6,0.4mM,E,0.434
aha1-6,0.4mM,E,0.733
aha1-6,0.4mM,E,0.843
aha1-6,0.4mM,E,0.806
aha1-6,0.4mM,E,1.013
aha1-6,0.4mM,E,1.11
aha1-6,0.4mM,E,1.466
aha1-6,0.4mM,E,0.533
aha1-6,0.4mM,E,0.712
aha1-6,0.4mM,E,0.377
aha1-6,0.4mM,E,0.533
aha1-6,0.4mM,E,0.402
aha1-6,0.4mM,E,0.388
aha1-6,0.4mM,E,0.804
aha1-6,0.4mM,E,0.549
aha1-6,0.4mM,E,0.535
aha1-6,0.4mM,E,0.507
aha1-6,0.4mM,E,0.911
aha1-6,0.4mM,E,0.596
aha1-6,0.4mM,E,0.427
aha1-6,0.4mM,E,0.666
aha1-6,0.4mM,E,1.599
aha1-6,0.4mM,E,1.033
aha1-6,0.4mM,E,0.733
aha1-6,0.4mM,E,0.981
aha1-6,0.4mM,E,0.569
aha1-6,0.4mM,E,0.723
aha1-6,0.4mM,E,0.666
aha1-6,0.4mM,E,0.686
aha1-6,0.4mM,E,0.97
aha1-6,0.4mM,E,0.537
aha1-6,0.4mM,E,0.777
aha1-6,0.4mM,E,0.819
aha1-6,0.4mM,E,0.853
aha1-6,0.4mM,E,1.019
aha1-6,0.4mM,E,0.897
aha1-6,0.4mM,E,0.866
aha1-6,0.4mM,E,0.694
aha1-6,0.4mM,E,0.824
aha1-6,0.4mM,E,0.397
aha1-6,0.4mM,E,0.711
aha1-6,0.4mM,E,0.307
aha1-6,0.4mM,E,0.388
aha1-6,0.4mM,E,0.311
aha1-6,0.4mM,E,0.188
aha1-6,0.4mM,E,0.275
aha1-6,0.4mM,E,0.149
aha1-6,0.4mM,E,0.6
aha1-6,0.4mM,E,0.6
aha1-6,0.4mM,E,0.869
aha1-6,0.4mM,E,0.333
aha1-6,0.4mM,E,0.916
aha1-6,0.4mM,E,0.444
aha1-6,0.4mM,E,0.794
aha1-6,0.4mM,E,1.169
aha1-6,0.4mM,E,0.799
aha1-6,0.4mM,E,0.866
aha1-6,0.4mM,E,0.819
aha1-6,0.4mM,E,0.906
aha1-6,0.4mM,E,0.533
aha1-6,0.4mM,E,0.694
aha1-6,0.4mM,E,0.614
Col-0,1mM,F,0.444
Col-0,1mM,F,1.239
Col-0,1mM,F,1.225
Col-0,1mM,F,0.802
Col-0,1mM,F,0.764
Col-0,1mM,F,0.78
Col-0,1mM,F,1.247
Col-0,1mM,F,0.835
Col-0,1mM,F,1.49
Col-0,1mM,F,0.888
Col-0,1mM,F,1.356
Col-0,1mM,F,1.45
Col-0,1mM,F,1.165
Col-0,1mM,F,1.081
Col-0,1mM,F,1.165
Col-0,1mM,F,2.37
Col-0,1mM,F,2.789
Col-0,1mM,F,0.942
Col-0,1mM,F,1.053
Col-0,1mM,F,1.243
Col-0,1mM,F,1.339
Col-0,1mM,F,0.914
Col-0,1mM,F,0.999
Col-0,1mM,F,1.559
Col-0,1mM,F,0.745
Col-0,1mM,F,0.866
Col-0,1mM,F,0.942
Col-0,1mM,F,2.283
Col-0,1mM,F,2.977
Col-0,1mM,F,2.638
Col-0,1mM,F,2.091
Col-0,1mM,F,1.334
Col-0,1mM,F,1.91
Col-0,1mM,F,0.853
Col-0,1mM,F,1.07
Col-0,1mM,F,1.76
Col-0,1mM,F,2.316
Col-0,1mM,F,1.391
Col-0,1mM,F,2.082
Col-0,1mM,F,2.133
Col-0,1mM,F,1.382
Col-0,1mM,F,1.026
Col-0,1mM,F,1.056
Col-0,1mM,F,1.14
Col-0,1mM,F,1.776
Col-0,1mM,F,3.373
Col-0,1mM,F,1.581
Col-0,1mM,F,1.599
Col-0,1mM,F,1.461
Col-0,1mM,F,1.257
Col-0,1mM,F,1.228
aha1-6,1mM,F,0.999
aha1-6,1mM,F,0.934
aha1-6,1mM,F,0.739
aha1-6,1mM,F,1.412
aha1-6,1mM,F,0.76
aha1-6,1mM,F,0.614
aha1-6,1mM,F,1.267
aha1-6,1mM,F,2.136
aha1-6,1mM,F,1.272
aha1-6,1mM,F,1.097
aha1-6,1mM,F,0.745
aha1-6,1mM,F,1.725
aha1-6,1mM,F,1.097
aha1-6,1mM,F,0.924
aha1-6,1mM,F,0.899
aha1-6,1mM,F,0.99
aha1-6,1mM,F,0.99
aha1-6,1mM,F,0.799
aha1-6,1mM,F,0.549
aha1-6,1mM,F,0.266
aha1-6,1mM,F,0.379
aha1-6,1mM,F,0.388
aha1-6,1mM,F,0.666
aha1-6,1mM,F,0.632
aha1-6,1mM,F,0.668
aha1-6,1mM,F,0.679
aha1-6,1mM,F,0.906
aha1-6,1mM,F,1.074
aha1-6,1mM,F,0.801
aha1-6,1mM,F,0.728
aha1-6,1mM,F,0.711
aha1-6,1mM,F,1.053
aha1-6,1mM,F,0.866
aha1-6,1mM,F,1.185
aha1-6,1mM,F,0.397
aha1-6,1mM,F,0.089
aha1-6,1mM,F,0.133
aha1-6,1mM,F,0.444
aha1-6,1mM,F,0.444
aha1-6,1mM,F,0.126
aha1-6,1mM,F,0.666
aha1-6,1mM,F,0.711
aha1-6,1mM,F,0.421
aha1-6,1mM,F,1.084
aha1-6,1mM,F,1.158
aha1-6,1mM,F,1.155
aha1-6,1mM,F,1.252
aha1-6,1mM,F,1.228
aha1-6,1mM,F,0.843
aha1-6,1mM,F,1.472
aha1-6,1mM,F,0.944
aha1-6,1mM,F,1.14
aha1-6,1mM,F,1.272
aha1-6,1mM,F,0.485
aha1-6,1mM,F,1.007
aha1-6,1mM,F,2.132
aha1-6,1mM,F,1.123
aha1-6,1mM,F,0.716
aha1-6,1mM,F,1.272
aha1-6,1mM,F,0.533
aha1-6,1mM,F,0.565
aha1-6,1mM,F,0.089
aha1-6,1mM,F,1.158
aha1-6,1mM,F,0.542
aha1-6,1mM,F,0.676
aha1-6,1mM,F,0.819
aha1-6,1mM,F,1.349
aha1-6,1mM,F,0.377
aha1-6,1mM,F,0.838
aha1-6,1mM,F,0.942
aha1-6,1mM,F,1.015
aha1-6,1mM,F,1.005
aha1-6,1mM,F,0.893
aha1-6,1mM,F,0.717
aha1-6,1mM,F,1.04
aha1-6,1mM,F,0.736
aha1-6,1mM,F,1.633
aha1-6,1mM,F,0.802
aha1-6,1mM,F,0.614
aha1-6,1mM,F,0.764
aha1-6,1mM,F,1.559
aha1-6,1mM,F,0.447
aha1-6,1mM,F,1.256
Col-0,30mM,G,0.366
Col-0,30mM,G,0.251
Col-0,30mM,G,0.4
Col-0,30mM,G,0.333
Col-0,30mM,G,0.596
Col-0,30mM,G,1.244
Col-0,30mM,G,0.4
Col-0,30mM,G,0.188
Col-0,30mM,G,0.126
Col-0,30mM,G,0.199
Col-0,30mM,G,0.222
Col-0,30mM,G,0.54
Col-0,30mM,G,0.355
Col-0,30mM,G,0.421
Col-0,30mM,G,1.847
Col-0,30mM,G,1.472
Col-0,30mM,G,1.155
Col-0,30mM,G,1.256
Col-0,30mM,G,0.777
Col-0,30mM,G,0.283
Col-0,30mM,G,0.537
Col-0,30mM,G,0.444
Col-0,30mM,G,0.801
Col-0,30mM,G,1.239
Col-0,30mM,G,0.745
Col-0,30mM,G,1.341
Col-0,30mM,G,0.444
Col-0,30mM,G,0.298
Col-0,30mM,G,0.569
Col-0,30mM,G,1.007
Col-0,30mM,G,0.759
Col-0,30mM,G,0.942
Col-0,30mM,G,0.802
Col-0,30mM,G,0.656
Col-0,30mM,G,0.631
Col-0,30mM,G,1.192
Col-0,30mM,G,0.656
Col-0,30mM,G,1.272
Col-0,30mM,G,1.103
Col-0,30mM,G,1.856
aha1-6,30mM,G,0.178
aha1-6,30mM,G,0.596
aha1-6,30mM,G,0.266
aha1-6,30mM,G,0.266
aha1-6,30mM,G,0.266
aha1-6,30mM,G,0.089
aha1-6,30mM,G,0.266
aha1-6,30mM,G,0.562
aha1-6,30mM,G,0.222
aha1-6,30mM,G,1.604
aha1-6,30mM,G,0.126
aha1-6,30mM,G,0.358
aha1-6,30mM,G,0.4
aha1-6,30mM,G,0.603
aha1-6,30mM,G,0.471
aha1-6,30mM,G,1.293
aha1-6,30mM,G,1.244
aha1-6,30mM,G,1.04
aha1-6,30mM,G,0.533
aha1-6,30mM,G,0.149
aha1-6,30mM,G,0.565
aha1-6,30mM,G,0.178
aha1-6,30mM,G,0.533
aha1-6,30mM,G,0.647
aha1-6,30mM,G,0.497
aha1-6,30mM,G,0.835
aha1-6,30mM,G,0.756
aha1-6,30mM,G,0.676
aha1-6,30mM,G,1.201
aha1-6,30mM,G,0.366
aha1-6,30mM,G,0.679
aha1-6,30mM,G,0.355
aha1-6,30mM,G,1.239
aha1-6,30mM,G,0.614
aha1-6,30mM,G,0.281
aha1-6,30mM,G,0.14
aha1-6,30mM,G,0.819
aha1-6,30mM,G,1.729
aha1-6,30mM,G,0.799
aha1-6,30mM,G,0.617
aha1-6,30mM,G,1.192
aha1-6,30mM,G,0.178
aha1-6,30mM,G,1.195
aha1-6,30mM,G,1.216
aha1-6,30mM,G,0.754
aha1-6,30mM,G,1.341
aha1-6,30mM,G,0.879
aha1-6,30mM,G,1.186
aha1-6,30mM,G,0.402
aha1-6,30mM,G,1.068
aha1-6,30mM,G,0.893
aha1-6,30mM,G,0.898
aha1-6,30mM,G,0.834
aha1-6,30mM,G,0.636
aha1-6,30mM,G,0.99
aha1-6,30mM,G,1.179
aha1-6,30mM,G,0.24
aha1-6,30mM,G,1.107
aha1-6,30mM,G,0.405
aha1-6,30mM,G,0.4
aha1-6,30mM,G,0.333
aha1-6,30mM,G,1.099
aha1-6,30mM,G,0.843
aha1-6,30mM,G,0.974
aha1-6,30mM,G,0.738
aha1-6,30mM,G,1.685
Col-0,50mM,H,0.089
Col-0,50mM,H,0.178
Col-0,50mM,H,0.047
Col-0,50mM,H,0.377
Col-0,50mM,H,0.711
Col-0,50mM,H,0.801
Col-0,50mM,H,0.81
Col-0,50mM,H,0.067
Col-0,50mM,H,0.421
Col-0,50mM,H,1.11
Col-0,50mM,H,0.678
Col-0,50mM,H,0.707
Col-0,50mM,H,0.799
Col-0,50mM,H,0.565
Col-0,50mM,H,0.14
Col-0,50mM,H,0.875
Col-0,50mM,H,0.533
Col-0,50mM,H,0.14
Col-0,50mM,H,0.133
Col-0,50mM,H,0.022
Col-0,50mM,H,0.866
Col-0,50mM,H,0.397
Col-0,50mM,H,0.444
Col-0,50mM,H,0.044
Col-0,50mM,H,0.2
Col-0,50mM,H,0.067
Col-0,50mM,H,0.236
Col-0,50mM,H,0.067
Col-0,50mM,H,0.316
Col-0,50mM,H,0.126
Col-0,50mM,H,0.388
Col-0,50mM,H,0.133
Col-0,50mM,H,0.4
Col-0,50mM,H,0.453
Col-0,50mM,H,0.266
Col-0,50mM,H,0.266
Col-0,50mM,H,0.4
Col-0,50mM,H,0.311
Col-0,50mM,H,0.067
Col-0,50mM,H,0.4
Col-0,50mM,H,0.453
Col-0,50mM,H,0.57
Col-0,50mM,H,0.266
Col-0,50mM,H,0.76
Col-0,50mM,H,0.044
Col-0,50mM,H,0.323
Col-0,50mM,H,0.133
Col-0,50mM,H,0.266
Col-0,50mM,H,0.275
Col-0,50mM,H,0.549
Col-0,50mM,H,0.942
Col-0,50mM,H,0.188
Col-0,50mM,H,0.089
Col-0,50mM,H,0.133
Col-0,50mM,H,0.067
Col-0,50mM,H,0.259
Col-0,50mM,H,0.211
Col-0,50mM,H,0.281
Col-0,50mM,H,0.333
Col-0,50mM,H,2.008
Col-0,50mM,H,0.133
Col-0,50mM,H,0.333
Col-0,50mM,H,0.14
Col-0,50mM,H,0.266
Col-0,50mM,H,0.2
Col-0,50mM,H,0.137
Col-0,50mM,H,0.089
Col-0,50mM,H,0.178
Col-0,50mM,H,0.067
Col-0,50mM,H,0.355
Col-0,50mM,H,0.4
Col-0,50mM,H,0.089
aha1-6,50mM,H,0.961
aha1-6,50mM,H,0.745
