Genotype ,Treatment,Letter,Aperture
Col-0,Mock,C,0.188
Col-0,Mock,C,0.126
Col-0,Mock,C,0.133
Col-0,Mock,C,0.894
Col-0,Mock,C,0.044
Col-0,Mock,C,0.32
Col-0,Mock,C,0.52
Col-0,Mock,C,0.48
Col-0,Mock,C,0.533
Col-0,Mock,C,0.355
Col-0,Mock,C,0.133
Col-0,Mock,C,0.133
Col-0,Mock,C,0.355
Col-0,Mock,C,0.178
Col-0,Mock,C,0.656
Col-0,Mock,C,0.199
Col-0,Mock,C,0.149
Col-0,Mock,C,0.794
Col-0,Mock,C,0.178
Col-0,Mock,C,0.089
Col-0,Mock,C,0.266
Col-0,Mock,C,0.48
Col-0,Mock,C,0.178
Col-0,Mock,C,0.089
Col-0,Mock,C,0.089
Col-0,Mock,C,0.133
Col-0,Mock,C,0.266
Col-0,Mock,C,0.614
Col-0,Mock,C,0.266
Col-0,Mock,C,0.067
Col-0,Mock,C,0.281
Col-0,Mock,C,0.133
Col-0,Mock,C,0.853
Col-0,Mock,C,0.067
Col-0,Mock,C,0.133
Col-0,Mock,C,0.691
Col-0,Mock,C,0.537
Col-0,Mock,C,0.281
Col-0,Mock,C,0.178
Col-0,Mock,C,0.149
Col-0,Mock,C,0.199
Col-0,Mock,C,0.298
Col-0,Mock,C,0.355
Col-0,Mock,C,0.133
Col-0,Mock,C,0.089
Col-0,Mock,C,0.133
Col-0,Mock,C,0.089
Col-0,Mock,C,0.099
Col-0,Mock,C,0.298
Col-0,Mock,C,0.266
Col-0,Mock,C,0.178
Col-0,Mock,C,0.266
Col-0,Mock,C,1.244
aha1-6,Mock,C,0.089
aha1-6,Mock,C,0.063
aha1-6,Mock,C,0.397
aha1-6,Mock,C,0.2
aha1-6,Mock,C,0.133
aha1-6,Mock,C,0.397
aha1-6,Mock,C,0.133
aha1-6,Mock,C,0.178
aha1-6,Mock,C,0.211
aha1-6,Mock,C,0.222
aha1-6,Mock,C,0.222
aha1-6,Mock,C,0.178
aha1-6,Mock,C,0.178
aha1-6,Mock,C,0.333
aha1-6,Mock,C,0.266
aha1-6,Mock,C,0.133
aha1-6,Mock,C,0.133
aha1-6,Mock,C,0.323
aha1-6,Mock,C,0.507
aha1-6,Mock,C,0.716
aha1-6,Mock,C,0.16
aha1-6,Mock,C,0.188
aha1-6,Mock,C,0.211
aha1-6,Mock,C,0.178
aha1-6,Mock,C,0.27
aha1-6,Mock,C,0.421
aha1-6,Mock,C,0.421
aha1-6,Mock,C,0.133
aha1-6,Mock,C,0.067
aha1-6,Mock,C,0.843
aha1-6,Mock,C,0.266
aha1-6,Mock,C,0.409
aha1-6,Mock,C,1.256
aha1-6,Mock,C,0.397
aha1-6,Mock,C,0.366
aha1-6,Mock,C,0.24
aha1-6,Mock,C,0.133
aha1-6,Mock,C,0.133
Col-0,0mM,D,0.823
Col-0,0mM,D,0.702
Col-0,0mM,D,0.787
Col-0,0mM,D,0.823
Col-0,0mM,D,0.901
Col-0,0mM,D,1.111
Col-0,0mM,D,1.037
Col-0,0mM,D,1.639
Col-0,0mM,D,1.06
Col-0,0mM,D,1.109
Col-0,0mM,D,0.811
Col-0,0mM,D,1.85
Col-0,0mM,D,0.614
Col-0,0mM,D,0.999
Col-0,0mM,D,0.853
Col-0,0mM,D,0.916
Col-0,0mM,D,1.348
Col-0,0mM,D,0.854
Col-0,0mM,D,0.854
Col-0,0mM,D,0.438
Col-0,0mM,D,0.946
Col-0,0mM,D,0.71
Col-0,0mM,D,0.71
Col-0,0mM,D,0.897
Col-0,0mM,D,0.716
Col-0,0mM,D,0.894
Col-0,0mM,D,0.897
Col-0,0mM,D,0.643
Col-0,0mM,D,0.827
Col-0,0mM,D,0.647
Col-0,0mM,D,0.535
Col-0,0mM,D,0.874
Col-0,0mM,D,1.404
Col-0,0mM,D,1.091
Col-0,0mM,D,1.041
Col-0,0mM,D,0.67
Col-0,0mM,D,1.204
Col-0,0mM,D,0.641
Col-0,0mM,D,0.879
Col-0,0mM,D,1.289
Col-0,0mM,D,0.869
Col-0,0mM,D,1.043
Col-0,0mM,D,0.849
Col-0,0mM,D,1.771
aha1-6,0mM,D,1.228
aha1-6,0mM,D,0.707
aha1-6,0mM,D,1.026
aha1-6,0mM,D,0.953
aha1-6,0mM,D,1.818
aha1-6,0mM,D,0.089
aha1-6,0mM,D,0.433
aha1-6,0mM,D,0.869
aha1-6,0mM,D,1.315
aha1-6,0mM,D,1.639
aha1-6,0mM,D,1.001
aha1-6,0mM,D,0.894
aha1-6,0mM,D,0.471
aha1-6,0mM,D,0.444
aha1-6,0mM,D,0.211
aha1-6,0mM,D,0.211
aha1-6,0mM,D,0.278
aha1-6,0mM,D,1.221
aha1-6,0mM,D,0.126
aha1-6,0mM,D,0.222
aha1-6,0mM,D,0.298
aha1-6,0mM,D,0.433
aha1-6,0mM,D,0.213
aha1-6,0mM,D,0.727
aha1-6,0mM,D,0.178
aha1-6,0mM,D,0.716
aha1-6,0mM,D,0.934
aha1-6,0mM,D,0.666
aha1-6,0mM,D,0.044
aha1-6,0mM,D,0.841
aha1-6,0mM,D,0.316
aha1-6,0mM,D,0.567
aha1-6,0mM,D,0.179
aha1-6,0mM,D,0.266
aha1-6,0mM,D,0.382
aha1-6,0mM,D,0.866
aha1-6,0mM,D,1.132
aha1-6,0mM,D,0.816
aha1-6,0mM,D,0.6
aha1-6,0mM,D,0.636
aha1-6,0mM,D,1.532
aha1-6,0mM,D,0.619
aha1-6,0mM,D,0.074
aha1-6,0mM,D,0.223
aha1-6,0mM,D,0.622
aha1-6,0mM,D,1.025
aha1-6,0mM,D,1.017
Col-0,0.4mM,E,0.444
Col-0,0.4mM,E,0.622
Col-0,0.4mM,E,1.829
Col-0,0.4mM,E,1.017
Col-0,0.4mM,E,0.589
Col-0,0.4mM,E,0.898
Col-0,0.4mM,E,1.589
Col-0,0.4mM,E,2.313
Col-0,0.4mM,E,1.337
Col-0,0.4mM,E,1.163
Col-0,0.4mM,E,1.256
Col-0,0.4mM,E,1.033
Col-0,0.4mM,E,0.989
Col-0,0.4mM,E,1.318
Col-0,0.4mM,E,2.011
Col-0,0.4mM,E,1.245
Col-0,0.4mM,E,2.776
Col-0,0.4mM,E,0.924
Col-0,0.4mM,E,1.1
Col-0,0.4mM,E,2.106
Col-0,0.4mM,E,1.388
Col-0,0.4mM,E,2.942
Col-0,0.4mM,E,1.621
Col-0,0.4mM,E,1.543
Col-0,0.4mM,E,1.777
Col-0,0.4mM,E,1.551
Col-0,0.4mM,E,1.77
Col-0,0.4mM,E,1.6
Col-0,0.4mM,E,1.601
Col-0,0.4mM,E,1.219
Col-0,0.4mM,E,1.534
Col-0,0.4mM,E,1.068
Col-0,0.4mM,E,1.343
Col-0,0.4mM,E,2.496
Col-0,0.4mM,E,1.067
Col-0,0.4mM,E,1.51
Col-0,0.4mM,E,1.131
Col-0,0.4mM,E,1.343
Col-0,0.4mM,E,1.107
Col-0,0.4mM,E,0.702
Col-0,0.4mM,E,1.053
Col-0,0.4mM,E,1.022
Col-0,0.4mM,E,1.341
Col-0,0.4mM,E,1.534
Col-0,0.4mM,E,1.036
Col-0,0.4mM,E,1.084
Col-0,0.4mM,E,0.899
Col-0,0.4mM,E,1.036
Col-0,0.4mM,E,0.814
Col-0,0.4mM,E,2.199
Col-0,0.4mM,E,1.663
Col-0,0.4mM,E,0.838
Col-0,0.4mM,E,1.317
Col-0,0.4mM,E,0.333
Col-0,0.4mM,E,1.461
Col-0,0.4mM,E,1.056
Col-0,0.4mM,E,1.044
Col-0,0.4mM,E,1.368
Col-0,0.4mM,E,1.917
Col-0,0.4mM,E,1.789
Col-0,0.4mM,E,0.691
Col-0,0.4mM,E,1.732
Col-0,0.4mM,E,2.211
Col-0,0.4mM,E,1.575
Col-0,0.4mM,E,1.675
Col-0,0.4mM,E,0.959
Col-0,0.4mM,E,3.375
Col-0,0.4mM,E,0.786
Col-0,0.4mM,E,1.446
Col-0,0.4mM,E,1.899
Col-0,0.4mM,E,1.286
Col-0,0.4mM,E,1.029
Col-0,0.4mM,E,1.132
Col-0,0.4mM,E,0.623
aha1-6,0.4mM,E,0.694
aha1-6,0.4mM,E,0.766
aha1-6,0.4mM,E,1.339
aha1-6,0.4mM,E,0.843
aha1-6,0.4mM,E,1.601
aha1-6,0.4mM,E,1.101
aha1-6,0.4mM,E,0.178
aha1-6,0.4mM,E,0.089
aha1-6,0.4mM,E,0.466
aha1-6,0.4mM,E,0.133
aha1-6,0.4mM,E,0.562
aha1-6,0.4mM,E,0.52
aha1-6,0.4mM,E,0.377
aha1-6,0.4mM,E,0.067
aha1-6,0.4mM,E,0.266
aha1-6,0.4mM,E,0.199
aha1-6,0.4mM,E,0.497
aha1-6,0.4mM,E,0.338
aha1-6,0.4mM,E,0.401
aha1-6,0.4mM,E,0.333
aha1-6,0.4mM,E,0.269
aha1-6,0.4mM,E,0.444
aha1-6,0.4mM,E,1.17
aha1-6,0.4mM,E,0.71
aha1-6,0.4mM,E,0.844
aha1-6,0.4mM,E,0.27
aha1-6,0.4mM,E,1.446
aha1-6,0.4mM,E,0.711
aha1-6,0.4mM,E,0.732
aha1-6,0.4mM,E,0.899
aha1-6,0.4mM,E,0.622
aha1-6,0.4mM,E,1.052
aha1-6,0.4mM,E,0.942
aha1-6,0.4mM,E,0.094
aha1-6,0.4mM,E,0.178
aha1-6,0.4mM,E,0.211
aha1-6,0.4mM,E,0.674
aha1-6,0.4mM,E,0.906
aha1-6,0.4mM,E,0.54
aha1-6,0.4mM,E,0.504
aha1-6,0.4mM,E,0.54
aha1-6,0.4mM,E,0.213
aha1-6,0.4mM,E,0.099
aha1-6,0.4mM,E,0.094
aha1-6,0.4mM,E,0.453
aha1-6,0.4mM,E,0.34
aha1-6,0.4mM,E,0.133
Col-0,1mM,F,1.312
Col-0,1mM,F,2.092
Col-0,1mM,F,1.373
Col-0,1mM,F,1.611
Col-0,1mM,F,1.947
Col-0,1mM,F,1.45
Col-0,1mM,F,1.899
Col-0,1mM,F,2.403
Col-0,1mM,F,1.932
Col-0,1mM,F,1.727
Col-0,1mM,F,1.202
Col-0,1mM,F,2.111
Col-0,1mM,F,1.908
Col-0,1mM,F,1.372
Col-0,1mM,F,1.212
Col-0,1mM,F,0.897
Col-0,1mM,F,1.68
Col-0,1mM,F,1.099
Col-0,1mM,F,1.391
Col-0,1mM,F,1.289
Col-0,1mM,F,1.885
Col-0,1mM,F,1.518
Col-0,1mM,F,1.367
Col-0,1mM,F,1.247
Col-0,1mM,F,1.643
Col-0,1mM,F,1.412
Col-0,1mM,F,2.025
Col-0,1mM,F,2.269
Col-0,1mM,F,1.228
Col-0,1mM,F,1.773
Col-0,1mM,F,1.223
Col-0,1mM,F,1.855
Col-0,1mM,F,1.421
Col-0,1mM,F,1.848
Col-0,1mM,F,2.069
Col-0,1mM,F,1.001
Col-0,1mM,F,1.332
Col-0,1mM,F,1.677
Col-0,1mM,F,0.744
Col-0,1mM,F,1.574
Col-0,1mM,F,2.148
Col-0,1mM,F,2.073
Col-0,1mM,F,2.232
Col-0,1mM,F,1.648
Col-0,1mM,F,3.319
Col-0,1mM,F,2.9
Col-0,1mM,F,1.43
Col-0,1mM,F,1.059
Col-0,1mM,F,2.111
Col-0,1mM,F,1.257
Col-0,1mM,F,1.485
Col-0,1mM,F,1.752
Col-0,1mM,F,1.497
Col-0,1mM,F,1.599
Col-0,1mM,F,0.993
Col-0,1mM,F,1.109
Col-0,1mM,F,1.95
Col-0,1mM,F,0.99
Col-0,1mM,F,1.638
Col-0,1mM,F,1.728
Col-0,1mM,F,1.808
Col-0,1mM,F,2.069
Col-0,1mM,F,1.601
Col-0,1mM,F,1.808
Col-0,1mM,F,1.281
Col-0,1mM,F,1.281
Col-0,1mM,F,1.676
Col-0,1mM,F,1.535
aha1-6,1mM,F,1.559
aha1-6,1mM,F,0.444
aha1-6,1mM,F,0.935
aha1-6,1mM,F,0.733
aha1-6,1mM,F,0.089
aha1-6,1mM,F,1.053
aha1-6,1mM,F,0.614
aha1-6,1mM,F,0.666
aha1-6,1mM,F,0.275
aha1-6,1mM,F,0.748
aha1-6,1mM,F,0.899
aha1-6,1mM,F,0.986
aha1-6,1mM,F,0.862
aha1-6,1mM,F,1.254
aha1-6,1mM,F,0.388
aha1-6,1mM,F,0.266
aha1-6,1mM,F,0.275
aha1-6,1mM,F,0.338
aha1-6,1mM,F,0.338
aha1-6,1mM,F,0.88
aha1-6,1mM,F,0.126
aha1-6,1mM,F,0.535
aha1-6,1mM,F,0.492
aha1-6,1mM,F,0.577
aha1-6,1mM,F,1.132
aha1-6,1mM,F,0.596
aha1-6,1mM,F,1.15
aha1-6,1mM,F,1.847
aha1-6,1mM,F,0.802
aha1-6,1mM,F,0.478
aha1-6,1mM,F,1.482
aha1-6,1mM,F,0.717
aha1-6,1mM,F,0.377
aha1-6,1mM,F,0.518
aha1-6,1mM,F,0.518
aha1-6,1mM,F,1.638
aha1-6,1mM,F,0.266
aha1-6,1mM,F,1.986
aha1-6,1mM,F,0.889
aha1-6,1mM,F,1.6
aha1-6,1mM,F,0.397
Col-0,30mM,G,1.266
Col-0,30mM,G,1.341
Col-0,30mM,G,1.146
Col-0,30mM,G,2.043
Col-0,30mM,G,1.733
Col-0,30mM,G,0.713
Col-0,30mM,G,0.843
Col-0,30mM,G,1.208
Col-0,30mM,G,1.176
Col-0,30mM,G,0.754
Col-0,30mM,G,0.471
Col-0,30mM,G,0.471
Col-0,30mM,G,0.533
Col-0,30mM,G,0.889
Col-0,30mM,G,0.896
Col-0,30mM,G,0.444
Col-0,30mM,G,0.54
Col-0,30mM,G,1.343
Col-0,30mM,G,0.259
Col-0,30mM,G,1.084
Col-0,30mM,G,0.565
Col-0,30mM,G,1.422
Col-0,30mM,G,0.785
Col-0,30mM,G,1.229
Col-0,30mM,G,1.373
Col-0,30mM,G,0.906
Col-0,30mM,G,1.467
Col-0,30mM,G,0.636
Col-0,30mM,G,0.666
Col-0,30mM,G,0.632
Col-0,30mM,G,0.849
Col-0,30mM,G,0.656
Col-0,30mM,G,0.54
Col-0,30mM,G,1.272
Col-0,30mM,G,0.711
Col-0,30mM,G,0.533
Col-0,30mM,G,0.838
Col-0,30mM,G,1.07
Col-0,30mM,G,1.399
Col-0,30mM,G,1.005
Col-0,30mM,G,0.76
Col-0,30mM,G,0.328
Col-0,30mM,G,1.096
Col-0,30mM,G,0.549
Col-0,30mM,G,0.614
Col-0,30mM,G,0.97
Col-0,30mM,G,0.833
Col-0,30mM,G,0.993
Col-0,30mM,G,1.867
Col-0,30mM,G,0.777
Col-0,30mM,G,0.777
aha1-6,30mM,G,0.628
aha1-6,30mM,G,0.149
aha1-6,30mM,G,0.32
aha1-6,30mM,G,1.121
aha1-6,30mM,G,1.604
aha1-6,30mM,G,0.802
aha1-6,30mM,G,0.666
aha1-6,30mM,G,0.444
aha1-6,30mM,G,0.518
aha1-6,30mM,G,1.132
aha1-6,30mM,G,0.614
aha1-6,30mM,G,1.32
aha1-6,30mM,G,0.6
aha1-6,30mM,G,1.261
aha1-6,30mM,G,0.766
aha1-6,30mM,G,0.678
aha1-6,30mM,G,0.711
aha1-6,30mM,G,0.792
aha1-6,30mM,G,0.358
aha1-6,30mM,G,0.823
aha1-6,30mM,G,0.397
aha1-6,30mM,G,0.533
aha1-6,30mM,G,0.397
aha1-6,30mM,G,0.801
aha1-6,30mM,G,1.503
aha1-6,30mM,G,1.479
aha1-6,30mM,G,0.786
aha1-6,30mM,G,0.933
aha1-6,30mM,G,0.933
aha1-6,30mM,G,1.118
aha1-6,30mM,G,0.549
aha1-6,30mM,G,0.801
aha1-6,30mM,G,0.838
aha1-6,30mM,G,0.666
aha1-6,30mM,G,0.934
aha1-6,30mM,G,1.264
aha1-6,30mM,G,0.632
aha1-6,30mM,G,0.388
aha1-6,30mM,G,0.16
aha1-6,30mM,G,0.579
aha1-6,30mM,G,0.464
aha1-6,30mM,G,0.284
aha1-6,30mM,G,0.311
aha1-6,30mM,G,0.906
aha1-6,30mM,G,0.421
aha1-6,30mM,G,0.333
aha1-6,30mM,G,0.421
aha1-6,30mM,G,0.437
aha1-6,30mM,G,0.804
aha1-6,30mM,G,1.263
aha1-6,30mM,G,1.043
aha1-6,30mM,G,1.043
aha1-6,30mM,G,1.043
aha1-6,30mM,G,0.622
aha1-6,30mM,G,0.358
aha1-6,30mM,G,0.372
aha1-6,30mM,G,1.155
aha1-6,30mM,G,0.089
aha1-6,30mM,G,1.099
aha1-6,30mM,G,1.099
aha1-6,30mM,G,0.347
aha1-6,30mM,G,0.314
aha1-6,30mM,G,1.041
aha1-6,30mM,G,0.977
aha1-6,30mM,G,0.347
Col-0,50mM,H,0.27
Col-0,50mM,H,0.236
Col-0,50mM,H,0.961
Col-0,50mM,H,0.848
Col-0,50mM,H,0.622
Col-0,50mM,H,0.405
Col-0,50mM,H,0.4
Col-0,50mM,H,0.54
Col-0,50mM,H,0.906
Col-0,50mM,H,0.402
Col-0,50mM,H,0.535
Col-0,50mM,H,0.723
Col-0,50mM,H,0.888
Col-0,50mM,H,0.614
Col-0,50mM,H,0.4
Col-0,50mM,H,1.158
Col-0,50mM,H,0.099
Col-0,50mM,H,0.833
Col-0,50mM,H,0.489
Col-0,50mM,H,0.133
Col-0,50mM,H,0.596
Col-0,50mM,H,0.549
Col-0,50mM,H,0.977
Col-0,50mM,H,0.236
Col-0,50mM,H,0.6
Col-0,50mM,H,1.002
Col-0,50mM,H,0.089
Col-0,50mM,H,0.421
Col-0,50mM,H,0.567
Col-0,50mM,H,0.567
Col-0,50mM,H,0.676
Col-0,50mM,H,0.149
Col-0,50mM,H,0.222
Col-0,50mM,H,0.695
Col-0,50mM,H,0.518
Col-0,50mM,H,0.582
Col-0,50mM,H,0.702
Col-0,50mM,H,1.07
Col-0,50mM,H,0.787
Col-0,50mM,H,1.402
Col-0,50mM,H,1.52
Col-0,50mM,H,0.48
Col-0,50mM,H,0.636
Col-0,50mM,H,0.666
Col-0,50mM,H,1.4
Col-0,50mM,H,0.577
Col-0,50mM,H,0.978
Col-0,50mM,H,0.716
Col-0,50mM,H,0.702
Col-0,50mM,H,0.549
Col-0,50mM,H,0.52
Col-0,50mM,H,0.666
Col-0,50mM,H,0.323
Col-0,50mM,H,1.394
Col-0,50mM,H,1.47
aha1-6,50mM,H,0.678
aha1-6,50mM,H,0.213
aha1-6,50mM,H,0.569
aha1-6,50mM,H,0.626
aha1-6,50mM,H,0.133
aha1-6,50mM,H,0.636
aha1-6,50mM,H,0.453
aha1-6,50mM,H,0.223
aha1-6,50mM,H,0.934
aha1-6,50mM,H,0.76
aha1-6,50mM,H,0.222
aha1-6,50mM,H,0.604
aha1-6,50mM,H,0.74
aha1-6,50mM,H,0.533
aha1-6,50mM,H,0.843
aha1-6,50mM,H,0.622
aha1-6,50mM,H,0.787
aha1-6,50mM,H,0.233
aha1-6,50mM,H,0.34
aha1-6,50mM,H,0.843
aha1-6,50mM,H,0.52
aha1-6,50mM,H,0.819
aha1-6,50mM,H,0.266
aha1-6,50mM,H,0.728
aha1-6,50mM,H,0.518
aha1-6,50mM,H,0.48
aha1-6,50mM,H,1.235
aha1-6,50mM,H,0.794
aha1-6,50mM,H,0.794
aha1-6,50mM,H,0.2
aha1-6,50mM,H,0.211
aha1-6,50mM,H,0.067
aha1-6,50mM,H,0.233
aha1-6,50mM,H,0.493
aha1-6,50mM,H,0.222
aha1-6,50mM,H,0.941
aha1-6,50mM,H,1.015
aha1-6,50mM,H,0.397
aha1-6,50mM,H,0.506
aha1-6,50mM,H,0.133
Col-0,100mM,I,0.133
Col-0,100mM,I,0.266
Col-0,100mM,I,0.178
Col-0,100mM,I,1.117
Col-0,100mM,I,0.5
Col-0,100mM,I,0.5
Col-0,100mM,I,1.344
Col-0,100mM,I,0.502
Col-0,100mM,I,0.679
Col-0,100mM,I,0.799
Col-0,100mM,I,0.397
Col-0,100mM,I,0.333
Col-0,100mM,I,0.444
Col-0,100mM,I,0.453
Col-0,100mM,I,0.323
Col-0,100mM,I,0.226
Col-0,100mM,I,0.6
Col-0,100mM,I,0.405
Col-0,100mM,I,0.954
Col-0,100mM,I,0.275
Col-0,100mM,I,0.366
Col-0,100mM,I,0.444
Col-0,100mM,I,0.444
Col-0,100mM,I,0.48
Col-0,100mM,I,0.355
Col-0,100mM,I,0.266
Col-0,100mM,I,0.2
Col-0,100mM,I,0.32
Col-0,100mM,I,0.702
Col-0,100mM,I,0.178
Col-0,100mM,I,0.188
Col-0,100mM,I,0.333
Col-0,100mM,I,0.569
Col-0,100mM,I,0.569
Col-0,100mM,I,0.355
Col-0,100mM,I,1.876
Col-0,100mM,I,0.2
Col-0,100mM,I,0.2
Col-0,100mM,I,1.099
Col-0,100mM,I,0.355
Col-0,100mM,I,0.565
Col-0,100mM,I,0.266
Col-0,100mM,I,0.281
Col-0,100mM,I,0.421
Col-0,100mM,I,0.178
Col-0,100mM,I,0.266
Col-0,100mM,I,1.103
Col-0,100mM,I,0.366
Col-0,100mM,I,0.366
Col-0,100mM,I,0.533
Col-0,100mM,I,0.596
Col-0,100mM,I,0.24
Col-0,100mM,I,1.206
Col-0,100mM,I,0.466
Col-0,100mM,I,0.137
Col-0,100mM,I,0.24
Col-0,100mM,I,0.34
Col-0,100mM,I,0.478
Col-0,100mM,I,0.359
aha1-6,100mM,I,0.266
aha1-6,100mM,I,0.359
aha1-6,100mM,I,0.149
aha1-6,100mM,I,0.266
aha1-6,100mM,I,0.4
aha1-6,100mM,I,0.355
aha1-6,100mM,I,0.266
aha1-6,100mM,I,0.355
aha1-6,100mM,I,0.397
aha1-6,100mM,I,0.281
aha1-6,100mM,I,0.089
